id	score	topic	answer	problem_preview
0	0.333333	number_theory	15	Find the smallest positive integer \( n \) such that the number of ordered triples \((a, b, c)\) where \(a, b,\) and \(c\) are integers satisfying \(1 \leq a, b, c \leq n\) and \(a + b + c\) is a multiple of 3 is exactly 1000.
1	0.444444	number_theory	2	Find the smallest positive integer \( n \) such that the polynomial \( P(x) = x^n + x^{n-1} + \cdots + x + 1 \) has a root modulo any prime \( p \).
2	0.444444	geometry	0	Find all positive integers \( n \) such that \( n^2 + 3n + 2 \) is a perfect square.
3	0.333333	number_theory	675	Find the smallest positive integer \( n \) such that there exist positive integers \( a_1, a_2, \ldots, a_n \) satisfying the following conditions: 1. \( a_1 + a_2 + \cdots + a_n = 2023 \), 2. Each \( a_i \) is divisible by \( 3 \) but not...
4	0.333333	geometry	20	In the complex plane, the vertices of a regular icosagon (20-sided polygon) are located at the 20th roots of unity. Let \( P \) be a point inside the icosagon such that the sum of the distances from \( P \) to each vertex is minimized. Det...
5	0.777778	geometry	2\sqrt{2} r^2	Consider a regular octagon $ABCDEFGH$ inscribed in a circle of radius $r$. Let $P$ be a point inside the octagon such that $PA = PB = PC = PD = PE = PF = PG = PH$. Determine the area of the octagon as a function of $r$ and $P$’s coordinate...
6	0.555556	geometry	1000000	In the complex plane, let $P$ be a point with coordinates $(a, b)$, where $a$ and $b$ are positive integers. Define a sequence of complex numbers $\{z_n\}_{n \geq 0}$ as follows: - $z_0 = P$. - For each $n \geq 1$, $z_n$ is the midpoint of...
7	0.444444	number_theory	29	In the complex plane, let \( z_1 \) and \( z_2 \) be the roots of the polynomial \( x^2 - 2x + 13 \). Define a sequence \( \{a_n\} \) such that \( a_1 = 2 \), \( a_2 = 3 \), and for \( n \geq 3 \), \( a_n \) is the smallest positive intege...
8	0.444444	number_theory	3	Find all positive integers \( n \) such that \( n^2 + n + 1 \) divides \( 2019^n + 1 \).
9	0.444444	number_theory	2	Let \( S \) be a set of \( n \) distinct integers. Define a function \( f: S \to S \) such that for any two distinct elements \( a, b \in S \), the value \( f(a) - f(b) \) divides \( a - b \). Find the maximum possible value of \( n \) for...
10	0.777778	algebra	6	Let \( P(x) \) be a polynomial of degree 4 such that \( P(1) = 1 \), \( P(2) = 2 \), \( P(3) = 3 \), \( P(4) = 4 \), and \( P(5) = 5 \). Find the value of \( P(6) \).
11	0.777778	geometry	0	Consider a regular polygon with 1025 sides. Each vertex of this polygon is assigned a unique integer from 1 to 1025. A sequence of vertices \(v_1, v_2, \ldots, v_{1025}\) is defined such that the sum of the integers assigned to any consecu...
12	0.375000	number_theory	1	What is the smallest positive integer \( n \) such that there exist three distinct integers \( a, b, c \) satisfying \( a^n + b^n = c^n \) and \( a + b + c = 2023 \)?
13	0.555556	other	26	In a mystical forest, there are three types of magical trees: Silver, Gold, and Bronze. The number of Silver trees is double the number of Gold trees, and the number of Bronze trees is one-third the number of Gold trees. If the total numbe...
14	0.333333	geometry	\sqrt{2}	Let \( ABCD \) be a square with side length 1. Points \( E \) and \( F \) lie on sides \( AB \) and \( BC \) respectively, such that \( AE = BF \). A semicircle with diameter \( EF \) is drawn inside the square, tangent to sides \( AD \) a...
15	0.666667	number_theory	5	Find all positive integers \( n \) such that \( n^2 + n + 1 \) divides \( 2^n - 1 \).
